"UNIQUE_REFERENCE_NUMBER"|"NAME"|"POINTX_CLASSIFICATION_CODE"|"FEATURE_EASTING"|"FEATURE_NORTHING"|"POSITIONAL_ACCURACY_CODE"|"UPRN"|"TOPOGRAPHIC_TOID"|"TOPOGRAPHIC_TOID_VERSION"|"USRN"|"USRN_MATCH_INDICATOR"|"DISTANCE"|"ADDRESS_DETAIL"|"STREET_NAME"|"LOCALITY"|"GEOGRAPHIC_COUNTY"|"POSTCODE"|"ADMINISTRATIVE_BOUNDARY"|"TELEPHONE_NUMBER"|"URL"|"BRAND"|"QUALIFIER_TYPE"|"QUALIFIER_DATA"|"PROVENANCE"|"DATE_OF_SUPPLY"
124104985|"Oscar Deutsch, Arthur Price, and Odeon Cinema, Newport Plaque"|"03200269"|331452.0|188495.0|3||"Not Assigned"|0|27100340|2|0.6|"Clarence Place"|""|"Newport"|"Gwent"|"NP19"|"Casnewydd - Newport"|""|"openplaques.org/plaques/30530"|""|"Plaque Type"|"Not Specified"|"Open Plaques"|"01-SEP-2021"
162368069|"Fiat Service Centres"|"02130212"|331853.0|188156.0|1|100100970118|"osgb1000027572822"|5|27100398|2|31.5|"L C Motors, Corporation Road"|"Town Centre"|"Newport"|"Gwent"|"NP19 0BG"|"Casnewydd - Newport"|"01633259892"|"www.fiat.co.uk/"|"Fiat Service Centres"|""|""|"Local Data Company"|"01-SEP-2021"
105021507|"Barclays Bank plc"|"02090141"|331555.0|187427.0|1|100100972873|"osgb1000002715111735"|4|27101266|3|47.2|"Lower Dock Street"|""|"Newport"|"Gwent"|"NP20 2BH"|"Casnewydd - Newport"|""|""|""|""|""|"VocaLink"|"01-SEP-2021"
157734419|"Cardtronics"|"02090141"|331406.0|187442.0|1|10014125541|"osgb1000027569828"|5|27100377|1|25.3|"14 Commercial Road"|"Newport"|""|"Gwent"|"NP20 2PA"|"Casnewydd - Newport"|""|""|""|""|""|"VocaLink"|"01-SEP-2021"
17740685|"Presbyterian Church of Wales"|"06340459"|331897.0|188133.0|1|100100969711|"osgb1000027572899"|4|27100521|3|15.0|""|""|""|"Gwent"|"NP19"|"Casnewydd - Newport"|""|""|""|"Religion"|"Presbyterianism (Christian)"|"Ordnance Survey"|"01-SEP-2021"
32839338|"Monmouthshire & Newport Primary Care Division"|"02100167"|331864.0|188079.0|1|100100970135|"osgb1000027572786"|4|27100398|1|23.7|"136-140"|"Corporation Road"|"Newport"|"Gwent"|"NP19 0BH"|"Casnewydd - Newport"|"01633744668"|""|""|""|""|"Wilmington Healthcare Ltd"|"01-SEP-2021"
22065359|"Bus Stop (Marlborough Road)"|"10590732"|331862.0|188369.0|1||"Not Assigned"|0|27100687|3|2.7|""|""|""|"Gwent"|"NP19"|"Casnewydd - Newport"|""|""|""|"SMS Number"|"nwpadpw"|"Department for Transport"|"01-SEP-2021"
22065362|"Bus Stop (Bus Depot)"|"10590732"|331948.0|188043.0|1||"Not Assigned"|0|27100398|3|4.6|""|""|""|"Gwent"|"NP19"|"Casnewydd - Newport"|""|""|""|"SMS Number"|"nwpdjpd"|"Department for Transport"|"01-SEP-2021"
22065363|"Bus Stop (Bus Depot)"|"10590732"|331984.0|188033.0|1||"Not Assigned"|0|27100398|3|7.7|""|""|""|"Gwent"|"NP19"|"Casnewydd - Newport"|""|""|""|"SMS Number"|"nwpdwgw"|"Department for Transport"|"01-SEP-2021"
22065374|"Bus Stop (Prince Street)"|"10590732"|331835.0|188643.0|1||"Not Assigned"|0|27112072|3|3.7|""|""|""|"Gwent"|"NP19"|"Casnewydd - Newport"|""|""|""|"SMS Number"|"nwpadtg"|"Department for Transport"|"01-SEP-2021"
103314597|"Bus Stop (East Dock Road)"|"10590732"|331924.0|187318.0|1||"Not Assigned"|0|27100486|3|5.5|""|""|""|"Gwent"|"NP20"|"Casnewydd - Newport"|""|""|""|"SMS Number"|"nwpgpam"|"Department for Transport"|"01-SEP-2021"
124946924|"Wi-Fi Hotspot (The Cloud)"|"06340802"|331851.0|188379.0|1|100100970044|"osgb1000027572513"|4|27100687|1|12.1|"45"|"Harrow Road"|"Newport"|"Gwent"|"NP19 0BU"|"Casnewydd - Newport"|""|""|""|""|""|"The Cloud"|"01-SEP-2021"
124951716|"Wi-Fi Hotspot (The Cloud)"|"06340802"|331824.0|188177.0|1|100100970101|"osgb1000027572820"|5|27100398|1|28.7|"101"|"Corporation Road"|"Newport"|"Gwent"|"NP19 0BG"|"Casnewydd - Newport"|""|""|""|""|""|"The Cloud"|"01-SEP-2021"
48902026|"ATS Euromaster Ltd"|"09490698"|331824.0|188177.0|1|100100970101|"osgb1000027572820"|5|27100398|1|28.7|"101"|"Corporation Road"|"Newport"|"Gwent"|"NP19 0BG"|"Casnewydd - Newport"|"01633221133"|"www.atseuromaster.co.uk"|"ATS Euromaster"|""|""|"118 Information"|"01-SEP-2021"
54507354|"A & N Plumbing & Heating Ltd"|"02030056"|331798.0|188686.0|1|100100970558|"osgb1000027571277"|5|27100238|1|10.1|"18"|"Caerleon Road"|"Newport"|"Gwent"|"NP19 7BW"|"Casnewydd - Newport"|"01633842775"|""|""|""|""|"118 Information"|"01-SEP-2021"
54514984|"Radcraft Newport"|"02030056"|331936.2|188669.4|1|100100656801|"osgb1000027571766"|5|27112072|1|12.3|"59b"|"Church Road"|"Newport"|"Gwent"|"NP19 7EJ"|"Casnewydd - Newport"|"01633842945"|""|""|""|""|"118 Information"|"01-SEP-2021"
54828392|"Creation Hair Design"|"02100156"|331796.0|188682.0|1|100100970558|"osgb1000027571277"|5|27100238|1|10.5|"18a"|"Caerleon Road"|"Newport"|"Gwent"|"NP19 7BW"|"Casnewydd - Newport"|"01633266831"|""|""|""|""|"118 Information"|"01-SEP-2021"
54852553|"T J Davies & Sons Funeral Directors"|"02100165"|331808.0|188427.0|1|100100970926|"osgb1000027572334"|4|27111812|1|21.3|"54-56"|"Chepstow Road"|"Newport"|"Gwent"|"NP19 8WU"|"Casnewydd - Newport"|"01633258656"|"www.dignityfunerals.co.uk"|"Dignity Funerals"|""|""|"118 Information"|"01-SEP-2021"
151309470|"Driving Test Centre ( Newport (Gwent) LGV)"|"06330411"|331901.0|187957.0|1|100100969714|"osgb1000027568190"|4|27100437|3|87.7|"Newport Transport Ltd, 160"|"Corporation Road"|"Newport"|"Gwent"|"NP19 0WF"|"Casnewydd - Newport"|""|"www.gov.uk/government/organisations/driver-and-vehicle-standards-agency"|""|"Test Centre Type"|"LGV Practical"|"Driver and Vehicle Standards Agency"|"01-SEP-2021"
43500743|"Fairoak"|"05320397"|331921.1|188715.8|1|100101046554|"osgb1000027571365"|6|27112072|1|36.2|""|"Church Road"|"Newport"|"Gwent"|"NP19 7EJ"|"Casnewydd - Newport"|"01633259415"|""|""|""|""|"Welsh Assembly Government"|"01-SEP-2021"
54634029|"Electrobit"|"02130205"|331831.0|188628.0|1|100100254497|"osgb1000027571294"|5|27112072|1|8.8|"80"|"Church Road"|"Newport"|"Gwent"|"NP19 7EH"|"Casnewydd - Newport"|"01633222444"|"www.electrobit.uk"|""|""|""|"118 Information"|"01-SEP-2021"
